headline,date,doc_type,material_type,section,keywords
Democrats Ready Impeachment Report as Republicans Argue Trump Did Nothing Wrong,2019-12-02,article,News,,"['Presidential Election of 2020', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']"
Letter of Recommendation: Badly Dubbed Movies,2019-12-03,article,News,,"['Dubbing (Entertainment)', 'Movies']"
Trump’s Behavior at the NATO Meeting,2019-12-03,article,Letter,,"['International Trade and World Market', 'United States Politics and Government']"
These Cocktails Are Garbage. Yum!,2019-12-02,article,News,,"['Waste Materials and Disposal', 'Cocktails and Mixed Drinks', 'Bars and Nightclubs']"
André Daguin Dies at 84; Chef Made Gascony (and a Dish) Famous,2019-12-03,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Chefs', 'Restaurants', 'Cooking and Cookbooks', 'Hotels and Travel Lodgings']"
Be More Like Your Dog: Show Compassion for Other Species,2019-12-03,article,Letter,,"['Animal Abuse, Rights and Welfare', 'Dogs']"
Oshkosh Shooting Is Second in 2 Days at Wisconsin High Schools,2019-12-03,article,News,,['School Shootings and Armed Attacks']
"It’s 2039, and Your Beloved Books Are Dead",2019-12-02,article,Op-Ed,,"['Book Trade and Publishing', 'Books and Literature', 'Writing and Writers', 'Poetry and Poets', 'Libraries and Librarians', 'Printing and Allied Trades', 'Virtual Reality (Computers)', 'Science Fiction']"
Thinking About a Job or Career Change? Read This,2019-12-01,article,News,,[]
"Sanctions May Have Fueled Iran Protests, but Have Yet to Further U.S. Goals",2019-12-02,article,News Analysis,,"['Economic Conditions and Trends', 'Demonstrations, Protests and Riots', 'United States Politics and Government', 'Embargoes and Sanctions', 'United States International Relations']"
Word + Quiz: palimpsest,2019-12-02,article,News,,[]
‘Who Owns Black Art?’: A Question Resounds at Art Basel Miami,2019-12-03,article,News,,"['Art', 'Art Basel Miami Beach', 'Blacks', 'Black People']"
Why the Less Disruptive Health Care Option Could Be Plenty Disruptive,2019-12-03,article,News,,"['Health Insurance and Managed Care', 'Medicare', 'Presidential Election of 2020', 'Patient Protection and Affordable Care Act (2010)']"
Lesson of the Day: ‘A Small Town Gave Up Tackle Football. It Came Storming Back.’,2019-12-02,article,News,,[]
Conference Planners Seek Food Truck Experience (Actual Truck Optional),2019-12-02,article,News,,"['Food Trucks and Vendors', 'Food', 'Hotels and Travel Lodgings', 'Kitchens']"
"If ‘Pain Is an Opinion,’ There Are Ways to Change Your Mind",2019-12-02,article,News,,"['Pain', 'Brain', 'Medicine and Health', 'Pain-Relieving Drugs', 'Therapy and Rehabilitation', 'Mental Health and Disorders', 'ALTERNATIVE AND COMPLEMENTARY MEDICINE']"
‘It Just Isn’t Working’: PISA Test Scores Cast Doubt on U.S. Education Efforts,2019-12-03,article,News,,"['Tests and Examinations', 'Reading and Writing Skills (Education)', 'Mathematics', 'Education (K-12)', 'National Assessment of Educational Progress', 'Teenagers and Adolescence']"
The Thrilling Shock of ‘Queen & Slim’,2019-12-03,article,Op-Ed,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Art', 'Police Brutality, Misconduct and Shootings', 'Movies', 'Women and Girls', 'Theater']"
"Ukraine Knew of Aid Freeze in July, Says Ex-Top Official in Kyiv",2019-12-03,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States International Relations', 'Presidential Election of 2020']"
Snow and Rain Create Sloppy Rush Hour,2019-12-02,article,News,,"['Snow and Snowstorms', 'Weather', 'Commuting', 'Traffic Accidents and Safety', 'Rain', 'Transit Systems']"
"After the Rapper T.I.’s Remarks, N.Y. May Ban ‘Virginity Tests’",2019-12-03,article,News,,"['Tests (Medical)', 'Law and Legislation', 'Vagina', 'Women and Girls', 'Sex', ""Women's Rights"", 'Abstinence (Sexual)']"
Cooking Grease Down a Drain Eyed in Sewage Flood of at Least 80 Homes,2019-12-01,article,News,,"['Sewers and Sewage', 'Waste Materials and Disposal', 'Water Pollution', 'Basements and Cellars']"
"‘Watchmen’ Season 1, Episode 7 Recap: Unintended Consequences",2019-12-02,article,Review,,['Television']
Trevor Noah Roasts Joe Biden for ‘No Malarkey’ Slogan,2019-12-03,article,News,,[]
"In Bowling Green, an Alsatian Holiday Market",2019-12-02,article,News,,"['Christmas', 'Shopping and Retail']"
"‘Mr. Robot’ Season 4, Episode 9 Recap: Downfall",2019-12-02,article,Review,,['Television']
The Great Lebanese Ponzi Scheme,2019-12-02,article,Op-Ed,,"['Economic Conditions and Trends', 'Banking and Financial Institutions', 'Corruption (Institutional)', 'Income Inequality']"
"Editors’ Note: Dec. 3, 2019",2019-12-03,article,Correction,,[]
Snow and Sleet Cause Havoc for Travelers,2019-12-01,article,News,,"['Weather', 'Snow and Snowstorms']"
"Sidelined for Months, Judiciary Panel Will Reclaim Impeachment Drive It Once Led",2019-12-01,article,News,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2020']"
‘The Dolphin Letters’ Shine Light on a Famous Marital and Literary Scandal,2019-12-03,article,Review,,"['Books and Literature', 'Writing and Writers', 'Letters']"
"In Weekend Outage, Diabetes Monitors Fail to Send Crucial Alerts",2019-12-02,article,News,,"['Diabetes', 'Mobile Applications', 'Children and Childhood', 'Parenting', 'Smartphones', 'Computer Network Outages', 'Wearable Computing']"
How to Cure the Renovation Bug?,2019-12-03,article,News,,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Home Repairs and Improvements', 'Furniture', 'Kitchens']"
The Theater Olympics Bring a World of Drama Together,2019-12-03,article,News,,['Theater']
Trump Heads to London as Impeachment Inquiry Progresses,2019-12-02,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2020', 'Impeachment', 'Foreign Aid']"
"Your Tuesday Briefing: Boris Johnson, NATO, China",2019-12-03,article,briefing,,[]
"Corrections: Dec. 1, 2019",2019-12-01,article,News,,[]
What’s on TV Tuesday: ‘Tiffany Haddish: Black Mitzvah’ and ‘Something Wild’,2019-12-03,article,News,,"['Movies', 'Television']"
Early Winter Storm Pummels Northeast,2019-12-02,article,News,,"['Weather', 'Snow and Snowstorms', 'Autumn (Season)', 'Roads and Traffic', 'AIRLINES AND AIRPLANES']"
My 27-Hour Vacation in Singapore’s Changi Airport,2019-12-02,article,News,,"['Travel and Vacations', 'AIRPORTS']"
Mother of Children Found Hanging in Basement Is Charged With Murder,2019-12-03,article,News,,"['Murders, Attempted Murders and Homicides', 'Child Abuse and Neglect', 'Animal Abuse, Rights and Welfare']"
Eating My Way Through Vietnam’s Most Livable City,2019-12-03,article,News,,"['Travel and Vacations', 'Vietnamese Food (Cuisine)', 'Motorcycles, Motor Bikes and Motorscooters', 'Beaches']"
"The Arbiter of Aristocracy: And No, It’s Not Downton’s Dowager",2019-12-03,article,Review,,['Books and Literature']
Duncan Hunter’s Guilty Plea: Answers to 5 Crucial Questions,2019-12-03,article,News,,"['Ethics and Official Misconduct', 'United States Politics and Government', 'Falsification of Data', 'Campaign Finance', 'Elections, House of Representatives', 'United States Defense and Military Forces', 'Veterans']"
