headline,date,doc_type,material_type,section,keywords
Buttigieg Struggles to Square Transparency With Nondisclosure Agreement,2019-12-07,article,News,,"['Presidential Election of 2020', 'United States Politics and Government', 'Nondisclosure Agreements']"
"Events to Shake, or Gently Rattle, the World in 2020",2019-12-06,article,News,,"['Mars (Planet)', 'Olympic Games (1964)', 'Copa America (Soccer)', 'Art', 'Politics and Government']"
"Behind the Scenes of Impeachment: Crammed Offices, Late Nights, Cold Pizza",2019-12-07,article,News,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
Kentucky and Michigan to Play a Game in London Next Season,2019-12-05,article,News,,['Basketball (College)']
"When a DNA Test Says You’re a Younger Man, Who Lives 5,000 Miles Away",2019-12-07,article,News,,"['Forensic Science', 'Genetics and Heredity', 'Bone Marrow', 'DNA (Deoxyribonucleic Acid)', 'Transplants', 'Crime and Criminals']"
Hypnosis Changed My Life,2019-12-07,article,Op-Ed,,"['Anxiety and Stress', 'Hypnosis', 'Insomnia', 'Therapy and Rehabilitation', 'Obsessive-Compulsive Disorder']"
Best Dance of 2019,2019-12-06,article,News,,"['Dancing', 'Two Thousand Nineteen']"
Writing Comparative Essays: Making Connections to Illuminate Ideas,2019-12-05,article,News,,[]
But Is It Impeachable?,2019-12-05,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Constitution (US)', 'Impeachment']"
‘A Present From Norway and It’s Dead’: Christmas Tree Unites London in Dismay,2019-12-05,article,News,,"['Christmas', 'Trees and Shrubs', 'Christmas Trees']"
‘Lookin’ Good!’,2019-12-07,article,News,,"['Crossword Puzzles', 'Scholarships and Fellowships']"
What’s on TV Thursday: ‘Gone Girl’ and a New Holiday Favorite,2019-12-05,article,News,,"['Television', 'Movies']"
My Grandmother’s Favorite Scammer,2019-12-07,article,Op-Ed,,"['Elderly', 'Computer Security', 'Frauds and Swindling']"
The Best Crime Novels of the Year,2019-12-05,article,News,,['Books and Literature']
What Torture Says About Us as a Society,2019-12-06,article,Letter,,['Torture']
Denmark Raises Antibiotic-Free Pigs. Why Can’t the U.S.?,2019-12-06,article,News,,"['ANTIBIOTICS', 'Drug resistance (Microbial)', 'Pigs', 'Agriculture and Farming', 'Factory Farming', 'Pork']"
A Reporter’s Search for the Truth About Cluster-Munition Deaths,2019-12-06,article,News,,"['United States Defense and Military Forces', 'Cluster Munitions']"
Officials Continue Investigating Gunman’s Motive in Navy Base Attack,2019-12-07,article,News,,"['United States Defense and Military Forces', 'Military Bases and Installations', 'Mass Shootings', 'Naval Air Station Pensacola Shooting (2019)']"
"‘A German Youth’ Review: Lights, Camera, Guerrilla Tactics?",2019-12-05,article,Review,,['Documentary Films and Programs']
Eating Globally: Hungry City’s Top 10 Restaurants of 2019,2019-12-05,article,News,,"['Restaurants', 'Salvadoran-Americans', 'Sushi', 'Mexican Food (Cuisine)', 'Chinese Food (Cuisine)', 'Immigration and Emigration', 'Two Thousand Nineteen']"
"G.M. Venture to Create Ohio Battery Plant and 1,100 Jobs",2019-12-05,article,News,,"['Electric and Hybrid Vehicles', 'Labor and Jobs', 'Batteries', 'Factories and Manufacturing']"
Times Critics’ Top Books of 2019,2019-12-05,article,News,,"['Books and Literature', 'Two Thousand Nineteen']"
Hall of Fame Takes Another Swing at an Underappreciated Era,2019-12-07,article,News,,"['Baseball', 'Halls of Fame']"
The Knicks Fired Their Coach. He Isn’t the Guy Who Needs to Go.,2019-12-07,article,News,,"['Basketball', 'Coaches and Managers']"
The Man Who Predicted Nazi Germany,2019-12-07,article,Op-Ed,,"['International Trade and World Market', 'Treaties', 'Economic Conditions and Trends', 'World War I (1914-18)']"
Afghan War Casualty Report: December 2019,2019-12-05,article,News,,['Civilian Casualties']
London Fire Commissioner Steps Down After Grenfell Criticism,2019-12-06,article,News,,"['Fires and Firefighters', 'Grenfell Tower Fire (June, 2017)', 'Deaths (Fatalities)']"
‘In Fabric’ Review: The Dress Is Possessed. But It Was on Sale.,2019-12-05,article,Review,,['Movies']
Our 50 Most Popular Recipes of 2019,2019-12-07,article,News,,[]
Should College Be Free?,2019-12-05,article,Op-Ed,,"['United States Politics and Government', 'Conservatism (US Politics)', 'Liberalism (US Politics)', 'Birth Rates', 'Women and Girls', 'Birth Control and Family Planning', 'Capitalism (Theory and Philosophy)', 'Colleges and Universities', 'Education', 'Tuition', 'Student Loans', 'Presidential Election of 2020', 'Movies']"
Review: Dancing the ‘Twisted Beauty’ of the Black Experience,2019-12-06,article,Review,,"['Dancing', 'Next Wave Festival']"
7 Things to Do With Your Kids in N.Y.C. This Weekend,2019-12-05,article,News,,['Children and Childhood']
Trump’s Legacy Is Being Written Right Now,2019-12-05,article,Op-Ed,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Constitution (US)', 'Impeachment', 'Watergate Affair', 'Vietnam War']"
Nothing Says Christmas Like … a KFC Fried-Chicken Fire?,2019-12-06,article,News,,"['Cooking and Cookbooks', 'Fast Food Industry', 'ADVERTISING AND MARKETING', 'Poultry', 'Wood and Wood Products', 'Smells and Odors']"
N.F.L. Week 14 Predictions: Our Picks Against the Spread,2019-12-06,article,News,,['Football']
PG&E Reaches $13.5 Billion Deal With Wildfire Victims,2019-12-07,article,News,,"['Wildfires', 'Bankruptcies', 'Suits and Litigation (Civil)', 'Electric Light and Power']"
Parliament in a Time of Permanent Campaigning,2019-12-06,article,News,,"['Politics and Government', 'Legislatures and Parliaments', 'Canadian Federal Election (2019)']"
‘I Got Tired of Hunting Black and Hispanic People’,2019-12-06,article,News,,"['Racial Profiling', 'Discrimination', 'Suits and Litigation (Civil)', 'Police', 'Race and Ethnicity', 'Blacks', 'Black People', 'Subways', 'Hispanic-Americans', 'Chinese-Americans', 'Asian-Americans']"
"Bravo, Nancy Pelosi!",2019-12-06,article,Letter,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
Where Is the Dog Poop in New York City?,2019-12-05,article,News,,"['Real Estate and Housing (Residential)', 'Dogs', 'Feces']"
Here We (Let It) Go Again: ‘Frozen 2’ and Movie Musical Sequels,2019-12-06,article,News,,['Movies']
Migrant Teen Lay for Hours in His Cell Before He Was Found Dead,2019-12-06,article,News,,"['Immigration and Emigration', 'Deaths (Fatalities)', 'Illegal Immigration', 'Immigration Detention']"
Benefit Season Ramps Up,2019-12-06,article,News,,"['Parties (Social)', 'Philanthropy']"
Don’t Segregate Female Athletes. Celebrate Them.,2019-12-06,article,News,,"['Women and Girls', 'Athletics and Sports']"
Are Live Christmas Trees Really Fire Hazards?,2019-12-07,article,News,,"['Real Estate and Housing (Residential)', 'Christmas', 'Christmas Trees', 'Fires and Firefighters']"
A Movie Torn From the Pages of His Life,2019-12-06,article,News,,"['Movies', 'Police Brutality, Misconduct and Shootings']"
Nairobi’s Gold-Loving Governor Is Arrested on Corruption Charges,2019-12-06,article,News,,"['Corruption (Institutional)', 'Ethics and Official Misconduct']"
"U.S. Added 266,000 Jobs in November. Here’s the Bottom Line.",2019-12-06,article,News,,"['Labor and Jobs', 'United States Economy', 'Wages and Salaries', 'Unemployment', 'Interest Rates', 'United States Politics and Government']"
Dealing With Grown-Up ‘Mean Girls’,2019-12-05,article,News,,"['Women and Girls', 'Social Media', 'Friendship', 'Dating and Relationships']"
How to Protect Your Children From Online Sexual Predators,2019-12-07,article,News,,"['Child Abuse and Neglect', 'Sex Crimes', 'Mobile Applications', 'Computer and Video Games', 'Parenting']"
Your Mom Is Wrong: Your Vegetarian Diet Did Not Cause Cancer,2019-12-05,article,News,,"['Cervical Cancer', 'Human Papillomavirus (HPV)', 'Diet and Nutrition', 'Cervix']"
"Pelosi Denies ‘Hate’ for Trump, Who Accuses Her of Having a ‘Nervous Fit’",2019-12-05,article,News,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
Why Thousands of Californians Don’t Have Clean Drinking Water,2019-12-06,article,briefing,,[]
Fight Against Colorism Takes On Amazon: Beauty ‘Cannot Be One Skin Color’,2019-12-05,article,News,,"['Skin', 'Discrimination', 'Race and Ethnicity', 'Blacks', 'Black People', 'Women and Girls', 'Mercury (Metal)']"
What Topics Do You Wish You Could Learn About in School?,2019-12-05,article,News,,[]
I Tested 13 Bidets. I’m a Convert.,2019-12-06,article,News,,"['Bathrooms and Toilets', 'Hygiene and Cleanliness', 'Remote Control Systems', 'your-feed-wirecutter']"
"Quotation of the Day: A Day of Revolution in France, Targeting Macron",2019-12-06,article,Quote,,[]
"When a Film Shows Gay Romance in Georgia, Going to See It Is a Risk",2019-12-06,article,News,,"['Movies', 'Demonstrations, Protests and Riots', 'Homosexuality and Bisexuality']"
"‘I Have Told Everything,’ Says Whistle-Blower in China Crackdown",2019-12-07,article,News,,"['Uighurs (Chinese Ethnic Group)', 'Political Prisoners', 'Politics and Government']"
Car-Free Travel,2019-12-06,article,News,,[]
15 Plays and Musicals to Go to in N.Y.C. This Weekend,2019-12-05,article,News,,['Theater']
Lesson of the Day: ‘Studying Sea Snakes? Time to Call the “Fantastic Grandmothers”’,2019-12-05,article,News,,[]
NATO Is Full of Freeloaders. But It’s How We Defend the Free World.,2019-12-05,article,Op-Ed,,['Defense and Military Forces']
Charges Planned Against Netanyahu Aides in Submarine Graft Scandal,2019-12-05,article,News,,['Bribery and Kickbacks']
Spain’s ‘Big Brother’ Accused of Recording Sexual Assault and Making Victim Watch,2019-12-05,article,News,,"['Video Recordings, Downloads and Streaming', 'Sex Crimes', 'Reality Television']"
"The Best Bites of 2019, From Around the World to New York",2019-12-05,article,News,,"['Restaurants', 'Two Thousand Nineteen']"
Impeaching Trump: Rush or Wait?,2019-12-05,article,Letter,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
Pelosi Says House Will Draft Impeachment Charges Against Trump,2019-12-05,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Constitution (US)']"
Can Money Buy Bloomberg Love?,2019-12-05,article,News,,"['Presidential Election of 2020', 'Political Advertising']"
A New Evita Rises in Argentina,2019-12-05,article,News,,['Politics and Government']
"French Strike Aims to Save an Envied, but Convoluted, Approach to Pensions",2019-12-07,article,News,,"['Strikes', 'Pensions and Retirement Plans', 'Politics and Government', 'Government Employees', 'Labor and Jobs', 'Railroads']"
Stop Investing in China’s Brutality,2019-12-05,article,Op-Ed,,"['Pensions and Retirement Plans', 'Defense and Military Forces', 'Stocks and Bonds', 'Embargoes and Sanctions', 'Kazakhs (Ethnic Group)', 'Human Rights and Human Rights Violations', 'Espionage and Intelligence Services']"
Can Biology Class Reduce Racism?,2019-12-07,article,News,,"['Genetics and Heredity', 'Race and Ethnicity', 'Education (Secondary)', 'Biology and Biochemistry', 'Teachers and School Employees', 'Discrimination', 'Education (K-12)']"
"R. Kelly Used Bribe to Marry Aaliyah When She Was 15, Charges Say",2019-12-05,article,News,,"['Child Abuse and Neglect', 'Bribery and Kickbacks', 'Marriages', 'Age, Chronological', 'Racketeering and Racketeers', 'Sex Crimes']"
How Aramco’s Huge I.P.O. Fell Short of Saudi Prince’s Wish,2019-12-06,article,News,,"['Initial Public Offerings', 'Oil (Petroleum) and Gasoline', 'Banking and Financial Institutions', 'Prices (Fares, Fees and Rates)']"
"The $120,000 Banana Wins Art Basel",2019-12-06,article,News,,"['Art', 'Art Basel Miami Beach', 'Fashion and Apparel']"
"Building Collapse in Nairobi Leaves at Least Four Dead, 29 Injured",2019-12-06,article,News,,"['Buildings (Structures)', 'Accidents and Safety']"
Trainee on Military Base Mounts Deadly Attack,2019-12-06,article,News,,"['Naval Air Station Pensacola Shooting (2019)', 'United States Defense and Military Forces', 'Mass Shootings']"
What They Wore for Their Kusama Art Selfies,2019-12-06,article,News,,['Fashion and Apparel']
"‘Little Joe’ Review: This Flower Can Dispense Joy, but It Has Demands",2019-12-05,article,Review,,['Movies']
The President’s Pardon Power May Be Weaker Than It Seems,2019-12-05,article,Op-Ed,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment', 'Amnesties, Commutations and Pardons', 'United States Politics and Government', 'Constitution (US)', 'Perjury']"
General Strike in France Challenges Macron’s Latest Ambition for Change,2019-12-05,article,News,,"['Yellow Vests Movement', 'Politics and Government', 'Demonstrations, Protests and Riots', 'Pensions and Retirement Plans', 'Strikes', 'Organized Labor']"
Donald Trump Is a Clear and Present Danger to the 2020 Election,2019-12-05,article,Op-Ed,,"['Presidential Election of 2020', 'United States Politics and Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']"
‘Dead Kids’ Review: A Flashy Portrait of Teen Angst Gone Awry,2019-12-06,article,Review,,['Movies']
Don’t Forget to Bring a Book!,2019-12-06,article,News,,['Books and Literature']
"A Catastrophic Accident, Then the Gift of Learning How to Live",2019-12-07,article,News,,"['Falls', 'Paralysis', 'Therapy and Rehabilitation', 'Swimming']"
Judiciary Committee Report Offers Legal Rationale for Impeaching Trump,2019-12-07,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']"
"12 Pop, Rock and Jazz Concerts to Check Out in N.Y.C. This Weekend",2019-12-05,article,News,,"['Pop and Rock Music', 'Jazz']"
A Season on the Rez,2019-12-06,article,News,,"['Navajo Indians', 'Coaches and Managers', 'Basketball']"
Government Studying Widely Used Chemicals Linked to Health Issues,2019-12-05,article,News,,"['Water Pollution', 'Chemicals', 'Research', 'Military Bases and Installations']"
Two New Drugs Help Relieve Sickle-Cell Disease. But Who Will Pay?,2019-12-07,article,News,,"['Drugs (Pharmaceuticals)', 'Health Insurance and Managed Care', 'Sickle Cell Anemia', 'Prices (Fares, Fees and Rates)', 'Stroke', 'Clinical Trials', 'Hemoglobin']"
‘Reprisal’ Review: A Femme Fatale on the Midnight Train to Revenge,2019-12-06,article,Review,,['Television']
Japan Plans to Spend $120 Billion to Stimulate Slowing Economy,2019-12-05,article,News,,"['Economic Conditions and Trends', 'Typhoon Hagibis (2019)', 'Infrastructure (Public Works)', 'Government Bonds', 'Politics and Government']"
"Pelosi Orders a Draft That Trump Won’t Be Able to Dodge, Kimmel Says",2019-12-06,article,News,,[]
Democrats Ask: Do We Really Want an All-White Final Four?,2019-12-05,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'United States Politics and Government', 'Debates (Political)', 'Race and Ethnicity']"
Review: Steve Reich Makes a Rare Venture Into the Orchestra,2019-12-06,article,Review,,['Classical Music']
Review: Facing Life’s Final Stretch in ‘Harry Townsend’s Last Stand’,2019-12-05,article,Review,,['Theater']
Trump Administration Sued Over Social Media Screening for Visa Applicants,2019-12-05,article,News,,"['Social Media', 'Foreign Students (in US)', 'Visas', 'United States Politics and Government', 'Immigration and Emigration', 'Suits and Litigation (Civil)', 'Freedom of Speech and Expression', 'Privacy']"
"Review: With ‘Jagged Little Pill,’ They Finally Fixed the Jukebox",2019-12-06,article,Review,,"['Theater', 'Music']"
How to Spend the Holidays in New York City,2019-12-05,article,News,,"['Culture (Arts)', 'Christmas', 'Holidays and Special Occasions', 'Hanukkah']"
Pantone Declares Another Year of Blue,2019-12-05,article,News,,"['Color', 'your-feed-fashion']"
‘The Amazon Is Completely Lawless’: The Rainforest After Bolsonaro’s First Year,2019-12-05,article,News,,"['Wildfires', 'United Nations Framework Convention on Climate Change', 'Forests and Forestry', 'Greenhouse Gas Emissions', 'Agriculture and Farming', 'Logging Industry', 'Mines and Mining', 'Global Warming', 'Indigenous People']"
What Happened to Kamala Harris?,2019-12-05,article,Op-Ed,,['Presidential Election of 2020']
"Visiting Auschwitz, Merkel Warns Against Danger to Liberal Democracy",2019-12-06,article,News,,"['Holocaust and the Nazi Era', 'ANTI-SEMITISM', 'Jews and Judaism', 'Concentration Camps']"
What’s on TV Friday: ‘Mrs. Maisel’ and ‘Wuthering Heights’,2019-12-06,article,News,,"['Television', 'Movies']"
The Bowhunting Influencer of Iowa Democrats,2019-12-07,article,News,,"['Presidential Election of 2020', 'Politics and Government']"
Kamala Harris Is Out: This Week in the 2020 Race,2019-12-07,article,News,,"['Presidential Election of 2020', 'Debates (Political)', 'Gun Control', 'Primaries and Caucuses', 'Polls and Public Opinion']"
U.S. Objects to World Bank’s Lending Plans for China,2019-12-05,article,News,,"['International Trade and World Market', 'Embargoes and Sanctions', 'Politics and Government', 'United States Politics and Government', 'Customs (Tariff)', 'Human Rights and Human Rights Violations', 'United States International Relations']"
Best Jazz of 2019,2019-12-05,article,News,,['Jazz']
"Corrections: Dec. 5, 2019",2019-12-05,article,Correction,,[]
I Was Once a Socialist. Then I Saw How It Worked.,2019-12-06,article,Op-Ed,,"['Capitalism (Theory and Philosophy)', 'Economic Conditions and Trends', 'Politics and Government', 'Socialism (Theory and Philosophy)']"
‘Portrait of a Lady on Fire’ Review: A Brush With Passion,2019-12-05,article,Review,,['Movies']
Best Art of 2019,2019-12-06,article,News,,"['Two Thousand Nineteen', 'Art']"
Anti-Semitic Imagery Could Cost Belgian Carnival Its UNESCO Status,2019-12-05,article,News,,"['ANTI-SEMITISM', 'Carnival (Pre-Lenten)', 'Holocaust and the Nazi Era']"
What Kamala Harris’s Campaign Teaches Us,2019-12-05,article,Op-Ed,,"['Presidential Election of 2020', 'Race and Ethnicity', 'Blacks', 'Black People', 'Debates (Political)', 'United States Politics and Government', 'Primaries and Caucuses', 'Polls and Public Opinion']"
Inconvenient Murders,2019-12-05,article,Op-Ed,,"['ANTI-SEMITISM', 'Jews and Judaism', 'Politics and Government', 'Fringe Groups and Movements', 'Zionism', 'Assaults']"
"Europe Accuses Iran of Missile Violations, and U.S. Says 1,000 Killed in Protests",2019-12-06,article,News,,"['Nuclear Weapons', 'United States International Relations', 'Embargoes and Sanctions', 'Missiles and Missile Defense Systems', 'Demonstrations, Protests and Riots']"
America the Hot Mess,2019-12-06,article,Op-Ed,,"['United States Politics and Government', 'Immigration and Emigration', 'Race and Ethnicity', 'Blacks', 'Black People']"
House Passes Voting Rights Bill Despite Near Unanimous Republican Opposition,2019-12-06,article,News,,"['United States Politics and Government', 'Law and Legislation', 'Voting Rights Act (1965)', 'Blacks', 'Black People', 'Race and Ethnicity', 'Civil Rights Movement (1954-68)']"
"Donald Trump, Pearl Harbor, France: Your Thursday Briefing",2019-12-05,article,briefing,,[]
Where the Frauds Are All Legal,2019-12-07,article,Op-Ed,,"['Health Insurance and Managed Care', 'Prices (Fares, Fees and Rates)', 'Hospitals', 'Emergency Medical Treatment', 'Regulation and Deregulation of Industry', 'Frauds and Swindling']"
"Please, Democrats, Don’t Make the Impeachment Articles Too Narrow",2019-12-06,article,Op-Ed,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Presidential Election of 2020', 'Presidential Election of 2016', 'Impeachment', 'Special Prosecutors (Independent Counsel)']"
Getting Back on Track After Tragedy,2019-12-07,article,News,,[]
Trump Gets ‘a Dose of His Own Medicine’ at NATO,2019-12-05,article,Letter,,['United States Politics and Government']
Protesters Killed and Cleric’s House Bombed in Deepening Iraqi Chaos,2019-12-07,article,News,,"['Demonstrations, Protests and Riots', 'Politics and Government', 'Defense and Military Forces']"
The Mets’ Would-Be Rescuer Is Far From a Hero,2019-12-06,article,News,,"['Baseball', 'Mergers, Acquisitions and Divestitures']"
"France, FIFA, Christmas: Your Friday Briefing",2019-12-06,article,briefing,,[]
"Huawei Sues the F.C.C., Ramping Up Fight With Critics and Foes",2019-12-05,article,News,,"['Telephones and Telecommunications', 'United States International Relations']"
New in Paperback: ‘Presidents of War’ and ‘Solitary’,2019-12-06,article,List,,['Books and Literature']
"Times Critics Discuss Their Year in Books, From New Talents to Old Favorites",2019-12-05,article,News,,['Books and Literature']
France’s Weekend of Discontent: Yellow Vest and Pension Protesters Gather,2019-12-07,article,News,,"['Strikes', 'Pensions and Retirement Plans', 'Organized Labor', 'Yellow Vests Movement', 'Demonstrations, Protests and Riots']"
"Japan’s Economy, Huawei, North Korea: Your Friday Briefing",2019-12-05,article,briefing,,[]
Manchester United Players Targeted With Racial Abuse by City Fans,2019-12-07,article,News,,"['Soccer', 'Discrimination', 'Race and Ethnicity', 'Blacks', 'Black People']"
What’s on TV Saturday: ‘Marriage Story’ and ‘The SpongeBob Musical’,2019-12-07,article,News,,"['Television', 'Movies']"
"New Holiday Music Playlist: Tunes That Soothe, Provoke and Share a Joke",2019-12-05,article,News,,"['Christmas', 'Music', 'Pop and Rock Music', 'Hanukkah']"
Review: An Eerie Shift Translates ‘Der Freischütz’ to Texas,2019-12-05,article,Review,,['Opera']
Call It a Crime of Pasta,2019-12-07,article,News,,"['Pasta', 'Women and Girls', 'Food Trucks and Vendors', 'Regulation and Deregulation of Industry']"
"World’s Oceans Are Losing Oxygen Rapidly, Study Finds",2019-12-07,article,News,,"['Oceans and Seas', 'Oxygen', 'Global Warming', 'Greenhouse Gas Emissions', 'Fish and Other Marine Life', 'Coral']"
Rereading Jean Rhys and Re-evaluating Margaret Thatcher,2019-12-06,article,Letter,,['Books and Literature']
What Not to Do on Your Work Computer,2019-12-06,article,News,,"['Computers and the Internet', 'Computer Security', 'Mobile Applications', 'Desktop Computers', 'your-feed-wirecutter']"
Football Is Dying in Ohio. A Coach in This County Made It Thrive.,2019-12-05,article,News,,"['Football', 'Interscholastic Athletics']"
The Border Wall Is Rising Up Across Our National Parks,2019-12-05,article,Op-Ed,,"['Border Barriers', 'Wilderness Areas', 'Environment', 'United States Politics and Government']"
Release of Trump’s Banking Records Delayed by Justice Ruth Bader Ginsburg,2019-12-07,article,News,,"['United States Politics and Government', 'Federal Taxes (US)', 'Trump Tax Returns', 'Impeachment']"
Zelensky’s Opponents Fear He Is Ready to Capitulate to Russia,2019-12-05,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'International Relations']"
"Portrait of London Bridge Killer, in His Own Words",2019-12-05,article,News,,"['Terrorism', 'Probation and Parole', 'Ex-Convicts']"
Trump Can’t Resist Campaigning for Governors. But They Can Resist Him.,2019-12-07,article,News,,"['Elections, Governors', 'Presidential Election of 2020', 'Midterm Elections (2018)', 'United States Politics and Government', 'Governors (US)']"
"Uber Says 3,045 Sexual Assaults Were Reported in U.S. Rides Last Year",2019-12-05,article,News,,"['Car Services and Livery Cabs', 'Traffic Accidents and Safety', 'Sex Crimes', 'Sexual Harassment', 'Murders, Attempted Murders and Homicides', 'Corporate Social Responsibility']"
Don’t Look Away,2019-12-06,article,Editorial,,"['Detainees', 'Torture', 'Terrorism', 'War Crimes, Genocide and Crimes Against Humanity']"
The Most Incredible Holiday Cookies Ever,2019-12-06,article,News,,['Cooking and Cookbooks']
Tufts Removes Sackler Name Over Opioids: ‘Our Students Find It Objectionable’,2019-12-05,article,News,,"['Names, Organizational', 'Opioids and Opiates', 'Colleges and Universities']"
Utah Had a Shot at the College Football Playoff. Oregon Spoiled It.,2019-12-07,article,News,,"['College Football Playoff National Championship', 'Football (College)']"
Trump Administration Moves to Upgrade Diplomatic Ties With Sudan,2019-12-05,article,News,,"['United States International Relations', 'Terrorism', 'Embargoes and Sanctions', 'Diplomatic Service, Embassies and Consulates']"
I Won a World Championship. Some People Aren’t Happy.,2019-12-05,article,Op-Ed,,"['Cycling, Track', 'Women and Girls', 'Transgender and Transsexuals']"
"Stephen Cleobury, Longtime Leader of Fabled Choir, Dies at 70",2019-12-05,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Music', 'Christmas']"
Film Club: ‘Broken Heart Doctor’,2019-12-05,article,News,,[]
Strip-Searching of 8-Year-Old at Prison Leads Virginia to Halt the Practice,2019-12-06,article,News,,"['Prisons and Prisoners', 'Search and Seizure']"
"Raeanne Rubenstein, Versatile Celebrity Photographer, Dies at 74",2019-12-05,article,Obituary (Obit),,"['Photography', 'Country Music', 'Celebrities', 'Deaths (Obituaries)']"
Did FIFA Accidentally Confirm a World Cup Bribery Scandal?,2019-12-05,article,News,,"['Soccer', 'World Cup 2022 (Soccer)']"
The Cage Cunningham Fellowship Puts a Spotlight on Light,2019-12-05,article,News,,"['Dancing', 'Awards, Decorations and Honors']"
Christian Doomsayers Have Lost It,2019-12-06,article,Op-Ed,,"['Christians and Christianity', 'Conservatism (US Politics)', 'Social Conditions and Trends', 'ABORTION', 'United States Politics and Government', 'Birth Control and Family Planning']"
How Is What You Are Studying in School Relevant to Your Life and the Larger World?,2019-12-05,article,News,,[]
"Michelle Pfeiffer’s Perfume Bottles, Illustrated",2019-12-06,article,News,,"['Perfumes and Fragrances', 'Glass']"
Claims of China’s Meddling Roil Taiwan Ahead of Elections,2019-12-06,article,News,,"['Politics and Government', 'Elections', 'Defense and Military Forces']"
Buttigieg Attacks Top Democratic Rivals on Tuition-Free College for All,2019-12-06,article,News,,"['Tuition', 'Colleges and Universities', 'Presidential Election of 2020']"
Eli Manning Is Ready for Another Chance,2019-12-07,article,News,,['Football']
A ‘Crisis’ Brings Together Many DC Comics Heroes,2019-12-06,article,News,,"['Television', 'Comic Books and Strips']"
"‘Pedo Guy’ Tweet Didn’t Hurt Cave Explorer’s Reputation, Musk Says",2019-12-06,article,News,,"['Libel and Slander', 'Caves and Caverns', 'Rescues']"
Saying No to Trump’s Troops,2019-12-06,article,Op-Ed,,"['Mormon Family Massacre (Mexico, 2019)', 'Drug Cartels', 'United States Defense and Military Forces', 'Drug Abuse and Traffic']"
Jim Brown: Football Has Forgotten the Men Who Made It Great,2019-12-07,article,Op-Ed,,"['Football', 'Pensions and Retirement Plans', 'Labor and Jobs']"
How Disputes Over Big Tech Are Disrupting Global Trade,2019-12-05,article,News,,"['Politics and Government', 'International Trade and World Market', 'United States Economy']"
Now Drawing Viewers: The Election Interview Boris Johnson Won’t Do,2019-12-06,article,News,,"['Politics and Government', 'News and News Media', 'Voting and Voters', 'Elections']"
"Corrections: Dec. 6, 2019",2019-12-06,article,Correction,,[]
Interviewing Bernie Sanders,2019-12-06,article,News,,"['Podcasts', 'Newsletters']"
U.K. Halts Torture Case Against Ex-Wife of Liberia’s Charles Taylor,2019-12-07,article,News,,"['War Crimes, Genocide and Crimes Against Humanity', 'Torture', 'Decisions and Verdicts', 'Politics and Government']"
Best Art Books of 2019,2019-12-05,article,News,,"['Art', 'Writing and Writers', 'Books and Literature', 'Museums', 'Photography', 'ARCHITECTURE', 'Two Thousand Nineteen']"
A Political Party Aligns Itself With Ocasio-Cortez,2019-12-06,article,News,,['Appointments and Executive Changes']
"Overlooked No More: Rose Mackenberg, Houdini’s Secret ‘Ghost-Buster’",2019-12-06,article,Obituary (Obit),,"['Psychics and Fortune Tellers', 'Occult Sciences', 'Magic and Magicians', 'Frauds and Swindling', 'Biographical Information']"
"After 10 Years of Hopes and Setbacks, What Happened to the Common Core?",2019-12-06,article,News,,"['Tests and Examinations', 'Education (K-12)', 'Reading and Writing Skills (Education)', 'National Assessment of Educational Progress']"
Supreme Court Won’t Allow Federal Executions to Resume,2019-12-06,article,News,,"['Capital Punishment', 'United States Politics and Government', 'Decisions and Verdicts']"
"What’s Going On in This Graph? | Dec. 11, 2019",2019-12-05,article,News,,[]
I Worked for Alex Jones. I Regret It.,2019-12-05,article,News,,"['Fringe Groups and Movements', 'United States Politics and Government', 'Radio', 'Muslim Americans']"
A Female Composer Makes History With ‘Orlando’ in Vienna,2019-12-06,article,News,,"['Opera', 'Women and Girls']"
My Week of ‘Noble Silence’,2019-12-06,article,News,,"['Meditation', 'Travel and Vacations', 'Yoga']"
Best Albums of 2019,2019-12-05,article,News,,"['Pop and Rock Music', 'Rap and Hip-Hop', 'Two Thousand Nineteen']"
